nearest_x,run,agent_id,x,y,z
2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.675219702509394182e+01,1.177213705026486679e+01,8.979740375899719140e+01
2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.491617867946428078e+01,2.773985220510625993e+01,6.379121301818919676e+00
2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,7.498372839092996855e+01,8.307119730931633228e+01,3.010663789950966418e+01
2.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,1.125737214896872018e+01,6.205974206723596787e+00,7.803421873885423565e+01
2.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,9.098213832105575705e+01,4.991607439426002202e+01,8.114368249268869704e+01
2.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,7.884086457299454764e+01,2.646869628862224388e+01,8.829286188095809962e+01
2.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,7.763843689117634028e+01,4.403561517718645035e+01,4.490691672108757970e+00
2.000000000000000000e+00,0.000000000000000000e+00,7.000000000000000000e+00,8.797055726493410077e+01,7.825963234397812585e+01,5.067544412592653202e+01
2.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000000e+00,4.358608509362417038e+01,4.087154071881347051e+01,1.811075305007921088e+01
2.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,6.110040001522066433e+01,9.471682748639508986e+01,7.222435666922316955e+01
2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+01,8.065037296424283397e+01,5.765053290089733551e+00,8.411010443827859717e+01
2.000000000000000000e+00,0.000000000000000000e+00,1.100000000000000000e+01,1.762452752021257041e+01,3.726802705927445913e+01,8.910992428131491749e+01
2.000000000000000000e+00,0.000000000000000000e+00,1.200000000000000000e+01,5.811309032113369000e+01,6.180624805544514544e+01,9.462752381235610244e+01
2.000000000000000000e+00,0.000000000000000000e+00,1.300000000000000000e+01,8.248185085946920481e+01,1.965388567477910797e+01,8.831564850599600902e+01
2.000000000000000000e+00,0.000000000000000000e+00,1.400000000000000000e+01,9.498545606925237905e+01,7.324931466031499383e+01,3.936515750918351131e+01
2.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+01,7.363093499605209047e+01,2.792223131675038417e+01,6.861004454234143957e+00
2.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01,1.193928319199341992e+01,6.330241409471602410e+00,7.685134484027774704e+01
2.000000000000000000e+00,0.000000000000000000e+00,1.700000000000000000e+01,7.398126142571746300e+01,2.872552489916233043e+01,6.670676724268838065e+00
2.000000000000000000e+00,0.000000000000000000e+00,1.800000000000000000e+01,3.532826880000798297e+01,2.574271589463594267e+01,1.827593019549197706e+01
2.000000000000000000e+00,0.000000000000000000e+00,1.900000000000000000e+01,1.454777461755725732e+01,1.082986545952749680e+01,1.967178805430215860e+01
2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01,2.050765184973325361e+01,1.470235660803870736e+01,8.185268233588087128e+01
2.000000000000000000e+00,0.000000000000000000e+00,2.100000000000000000e+01,2.538471162631770284e+01,7.140227133121501879e+01,7.116636504152843656e+01
2.000000000000000000e+00,0.000000000000000000e+00,2.200000000000000000e+01,9.416876799557657307e+01,2.112404354264665329e+01,5.530986750959139897e+01
2.000000000000000000e+00,0.000000000000000000e+00,2.300000000000000000e+01,9.010271637748462581e+01,3.980585184844324687e+01,2.451959525806574902e+01
