step,nearest_x,run,n_clusters,n_noise
615.0,8.0,0.0,1,0
615.0,8.0,1.0,1,0
615.0,8.0,2.0,3,8
615.0,8.0,3.0,1,0
615.0,8.0,4.0,2,0
615.0,8.0,5.0,2,0
615.0,8.0,6.0,1,0
615.0,8.0,7.0,4,6
615.0,8.0,8.0,1,0
615.0,8.0,9.0,2,0
615.0,8.0,10.0,2,7
615.0,8.0,11.0,2,0
615.0,8.0,12.0,1,0
615.0,8.0,13.0,1,5
615.0,8.0,14.0,1,0
615.0,8.0,15.0,2,3
615.0,8.0,16.0,2,1
615.0,8.0,17.0,2,0
615.0,8.0,18.0,1,1
615.0,8.0,19.0,1,1
615.0,8.0,20.0,1,0
615.0,8.0,21.0,3,1
615.0,8.0,22.0,1,1
615.0,8.0,23.0,2,3
615.0,8.0,24.0,2,0
615.0,8.0,25.0,1,1
615.0,8.0,26.0,2,0
615.0,8.0,27.0,2,0
615.0,8.0,28.0,1,0
615.0,8.0,29.0,2,1
615.0,9.0,0.0,1,2
615.0,9.0,1.0,1,0
615.0,9.0,2.0,1,1
615.0,9.0,3.0,1,0
615.0,9.0,4.0,1,3
615.0,9.0,5.0,1,2
615.0,9.0,6.0,2,0
615.0,9.0,7.0,2,8
615.0,9.0,8.0,3,0
615.0,9.0,9.0,2,0
615.0,9.0,10.0,1,0
615.0,9.0,11.0,2,3
615.0,9.0,12.0,1,0
615.0,9.0,13.0,1,0
615.0,9.0,14.0,1,0
615.0,9.0,15.0,1,0
615.0,9.0,16.0,1,0
615.0,9.0,17.0,1,2
615.0,9.0,18.0,1,4
615.0,9.0,19.0,1,0
615.0,9.0,20.0,1,0
615.0,9.0,21.0,1,2
615.0,9.0,22.0,2,1
615.0,9.0,23.0,1,1
615.0,9.0,24.0,4,5
615.0,9.0,25.0,1,0
615.0,9.0,26.0,2,1
615.0,9.0,27.0,2,3
615.0,9.0,28.0,2,8
615.0,9.0,29.0,1,3
615.0,10.0,0.0,2,2
615.0,10.0,1.0,2,0
615.0,10.0,2.0,1,2
615.0,10.0,3.0,1,0
615.0,10.0,4.0,1,0
615.0,10.0,5.0,2,0
615.0,10.0,6.0,1,0
615.0,10.0,7.0,3,0
615.0,10.0,8.0,1,0
615.0,10.0,9.0,2,0
615.0,10.0,10.0,1,0
615.0,10.0,11.0,1,0
615.0,10.0,12.0,1,5
615.0,10.0,13.0,2,0
615.0,10.0,14.0,1,1
615.0,10.0,15.0,2,1
615.0,10.0,16.0,2,1
615.0,10.0,17.0,1,1
615.0,10.0,18.0,1,0
615.0,10.0,19.0,1,3
615.0,10.0,20.0,1,0
615.0,10.0,21.0,2,1
615.0,10.0,22.0,1,0
615.0,10.0,23.0,1,0
615.0,10.0,24.0,2,0
615.0,10.0,25.0,1,1
615.0,10.0,26.0,2,1
615.0,10.0,27.0,2,0
615.0,10.0,28.0,2,2
615.0,10.0,29.0,2,0
615.0,11.0,0.0,2,1
615.0,11.0,1.0,1,1
615.0,11.0,2.0,1,3
615.0,11.0,3.0,1,5
615.0,11.0,4.0,1,1
615.0,11.0,5.0,1,9
615.0,11.0,6.0,1,2
615.0,11.0,7.0,1,0
615.0,11.0,8.0,1,4
615.0,11.0,9.0,1,6
615.0,11.0,10.0,2,1
615.0,11.0,11.0,1,0
615.0,11.0,12.0,3,0
615.0,11.0,13.0,1,0
615.0,11.0,14.0,1,6
615.0,11.0,15.0,2,1
615.0,11.0,16.0,2,1
