step,nearest_x,run,n_clusters,n_noise
630.0,10.0,28.0,3,4
630.0,10.0,29.0,1,0
630.0,11.0,0.0,1,0
630.0,11.0,1.0,1,2
630.0,11.0,2.0,1,3
630.0,11.0,3.0,1,4
630.0,11.0,4.0,1,1
630.0,11.0,5.0,1,5
630.0,11.0,6.0,1,3
630.0,11.0,7.0,1,0
630.0,11.0,8.0,1,1
630.0,11.0,9.0,1,7
630.0,11.0,10.0,1,5
630.0,11.0,11.0,1,0
630.0,11.0,12.0,1,1
630.0,11.0,13.0,1,0
630.0,11.0,14.0,2,16
630.0,11.0,15.0,1,1
630.0,11.0,16.0,2,2
630.0,11.0,17.0,2,2
630.0,11.0,18.0,1,2
630.0,11.0,19.0,1,0
630.0,11.0,20.0,1,4
630.0,11.0,21.0,1,5
630.0,11.0,22.0,2,3
630.0,11.0,23.0,2,7
630.0,11.0,24.0,1,0
630.0,11.0,25.0,1,0
630.0,11.0,26.0,1,3
630.0,11.0,27.0,1,0
630.0,11.0,28.0,1,0
630.0,11.0,29.0,1,3
