nearest_x,run,step,agent_id,x,y,z
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,0.000000000000000000e+00,8.754547880446975228e+01,8.769926001555626272e+01,5.333159191940260335e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,1.000000000000000000e+00,7.795449165541282355e+01,8.627570892124730051e+01,6.445802664592507725e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,2.000000000000000000e+00,8.240746518688951028e+01,8.268009640948957895e+01,5.194059968232252800e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,3.000000000000000000e+00,8.617026032403234126e+01,8.413260770814473233e+01,4.670308975492502235e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,4.000000000000000000e+00,9.280991520840044018e+01,8.552283745250404934e+01,1.105950353053471602e+01
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,5.000000000000000000e+00,9.484922868824604336e+01,8.549260481863298367e+01,1.294919252085608363e+01
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,6.000000000000000000e+00,9.184376262335592855e+01,8.201054980441210773e+01,5.530367956523267736e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,7.000000000000000000e+00,8.310082671185884351e+01,8.555119432152983450e+01,5.021077152189635129e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,8.000000000000000000e+00,9.346096878761250082e+01,7.439884565355517054e+01,4.706593576148729596e+01
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,9.000000000000000000e+00,8.733634705952458432e+01,8.355137756235727409e+01,4.174876080407319279e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,1.000000000000000000e+01,8.456663024364635817e+01,8.392395346700364200e+01,4.928200954612751872e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,1.100000000000000000e+01,6.821250438478210754e+01,8.600516605807617054e+01,7.225494815150092620e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,1.200000000000000000e+01,8.651404053359199509e+01,8.319913073156773464e+01,5.297442632885059233e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,1.300000000000000000e+01,9.176350303582971435e+01,8.234746573013261184e+01,5.226716169716256744e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,1.400000000000000000e+01,9.226932770616383550e+01,8.240028387322239212e+01,4.950070526500587320e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,1.500000000000000000e+01,7.134478993924844303e+01,8.699165144441683140e+01,7.384548930505245856e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,1.600000000000000000e+01,8.840164768824899966e+01,6.080229042231741943e+01,4.735535612796825689e+01
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,1.700000000000000000e+01,9.116498494952050180e+01,8.169185408583123831e+01,4.490033519611335677e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,1.800000000000000000e+01,6.289408501899442427e+01,8.314201739185924112e+01,8.857475703524579913e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,1.900000000000000000e+01,8.795362107831805076e+01,8.854587922701891500e+01,6.074834985625521711e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,2.000000000000000000e+01,9.438095206907811985e+01,8.601929585842555070e+01,1.937993647731289570e+01
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,2.100000000000000000e+01,8.877085676425052441e+01,8.171311574900158803e+01,4.988150132766783429e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,2.200000000000000000e+01,8.746359812711666848e+01,8.134305749784050477e+01,4.869317925588639184e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,2.300000000000000000e+01,9.011324332299082585e+01,7.023961607092925874e+01,4.858238143711565726e+01
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,2.400000000000000000e+01,8.444126356983859694e+01,8.451943766823686133e+01,5.182226418443431015e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,2.500000000000000000e+01,9.397357981040011055e+01,8.458586769620313817e+01,1.406046735780781276e+01
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,2.600000000000000000e+01,8.481600507969631053e+01,8.437329113044704343e+01,5.267020903469402882e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,2.700000000000000000e+01,8.480506118289434880e+01,8.446482471844771567e+01,5.107031625083550352e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,2.800000000000000000e+01,9.056114486876094816e+01,8.198472104588698528e+01,5.278385876893689321e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,2.900000000000000000e+01,8.875636091231677938e+01,8.329820259333139632e+01,5.896095174016322105e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,3.000000000000000000e+01,8.790023122308903680e+01,5.866673531287049315e+01,4.840834375491206742e+01
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,3.100000000000000000e+01,9.470070069358733633e+01,8.584243465567327291e+01,1.472779750933514720e+01
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,3.200000000000000000e+01,9.099738587575201620e+01,8.271156434198756813e+01,5.967186987916043073e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,3.300000000000000000e+01,6.320312697670578217e+01,8.342619576696256445e+01,6.533366014741871730e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,3.400000000000000000e+01,6.413148690231490434e+01,8.227646509676229414e+01,8.279623518254229708e+00
