nearest_x,run,n_clusters,n_noise
9.0,21.0,11,16
9.0,22.0,6,12
9.0,23.0,8,32
9.0,24.0,7,16
9.0,25.0,10,81
9.0,26.0,9,30
9.0,27.0,7,15
9.0,28.0,8,24
9.0,29.0,8,38
10.0,0.0,6,20
10.0,1.0,10,52
10.0,2.0,7,24
10.0,3.0,11,17
10.0,4.0,7,9
10.0,5.0,15,70
10.0,6.0,9,41
10.0,7.0,6,26
10.0,8.0,6,19
10.0,9.0,10,17
10.0,10.0,9,11
10.0,11.0,14,89
10.0,12.0,7,33
10.0,13.0,8,10
10.0,14.0,8,31
10.0,15.0,9,31
10.0,16.0,8,18
10.0,17.0,8,22
10.0,18.0,7,14
10.0,19.0,10,60
10.0,20.0,7,28
10.0,21.0,6,24
10.0,22.0,6,3
10.0,23.0,8,12
10.0,24.0,7,29
10.0,25.0,9,28
10.0,26.0,8,21
10.0,27.0,8,13
10.0,28.0,6,12
10.0,29.0,9,12
11.0,0.0,10,46
11.0,1.0,9,23
11.0,2.0,5,34
11.0,3.0,0,200
11.0,4.0,8,47
11.0,5.0,7,40
11.0,6.0,12,41
11.0,7.0,8,5
11.0,8.0,7,19
11.0,9.0,8,69
11.0,10.0,7,5
11.0,11.0,1,195
11.0,12.0,7,27
11.0,13.0,8,4
11.0,14.0,7,20
11.0,15.0,5,26
11.0,16.0,11,50
11.0,17.0,7,24
11.0,18.0,9,24
11.0,19.0,10,24
11.0,20.0,8,42
11.0,21.0,9,31
11.0,22.0,9,57
11.0,23.0,16,53
11.0,24.0,8,4
11.0,25.0,6,14
11.0,26.0,10,21
11.0,27.0,7,23
11.0,28.0,7,7
11.0,29.0,11,8
