nearest_x,run,step,n_clusters,n_noise
3.0,6.0,321,6,54
3.0,7.0,321,13,81
3.0,8.0,321,16,106
3.0,9.0,321,15,107
3.0,10.0,321,14,100
3.0,11.0,321,16,102
4.0,0.0,321,11,53
4.0,1.0,321,10,73
4.0,2.0,321,8,165
4.0,3.0,321,8,141
4.0,4.0,321,12,148
4.0,5.0,321,17,89
4.0,6.0,321,8,112
4.0,7.0,321,11,151
4.0,8.0,321,7,45
4.0,9.0,321,19,83
4.0,10.0,321,11,155
4.0,11.0,321,8,99
5.0,0.0,321,14,85
5.0,1.0,321,12,80
5.0,2.0,321,15,49
5.0,3.0,321,12,137
5.0,4.0,321,17,113
5.0,5.0,321,5,34
5.0,6.0,321,6,81
5.0,7.0,321,12,62
5.0,8.0,321,13,53
5.0,9.0,321,8,62
5.0,10.0,321,15,109
5.0,11.0,321,15,103
6.0,0.0,321,9,92
6.0,1.0,321,11,140
6.0,2.0,321,15,102
6.0,3.0,321,13,115
6.0,4.0,321,16,130
6.0,5.0,321,15,137
6.0,6.0,321,7,127
6.0,7.0,321,7,36
6.0,8.0,321,12,59
6.0,9.0,321,10,44
6.0,10.0,321,13,114
6.0,11.0,321,7,174
7.0,0.0,321,9,166
7.0,1.0,321,11,79
7.0,2.0,321,8,165
7.0,3.0,321,5,38
7.0,4.0,321,7,23
7.0,5.0,321,10,70
7.0,6.0,321,14,98
7.0,7.0,321,9,138
7.0,8.0,321,20,71
7.0,9.0,321,14,70
7.0,10.0,321,7,94
7.0,11.0,321,10,115
8.0,0.0,321,11,120
8.0,1.0,321,8,52
8.0,2.0,321,12,57
8.0,3.0,321,9,168
8.0,4.0,321,5,184
8.0,5.0,321,8,49
8.0,6.0,321,8,99
8.0,7.0,321,10,87
8.0,8.0,321,6,115
8.0,9.0,321,3,88
8.0,10.0,321,9,128
8.0,11.0,321,6,176
9.0,0.0,321,13,111
9.0,1.0,321,5,88
9.0,2.0,321,13,127
9.0,3.0,321,10,65
9.0,4.0,321,7,102
9.0,5.0,321,10,153
9.0,6.0,321,9,93
9.0,7.0,321,5,181
9.0,8.0,321,4,61
9.0,9.0,321,3,71
9.0,10.0,321,7,149
9.0,11.0,321,11,97
10.0,0.0,321,13,147
10.0,1.0,321,8,74
10.0,2.0,321,13,111
10.0,3.0,321,7,47
10.0,4.0,321,10,92
10.0,5.0,321,11,85
10.0,6.0,321,17,94
10.0,7.0,321,11,106
10.0,8.0,321,7,97
10.0,9.0,321,6,175
10.0,10.0,321,13,82
10.0,11.0,321,4,85
